table_name,序号,字段名,类型,最大长度,可空,默认值,底层类型
audit_logs,1,id,integer,"",NO,nextval('audit_logs_id_seq'::regclass),int4
audit_logs,2,user_id,character varying,100,YES,"",varchar
audit_logs,3,action,character varying,100,NO,"",varchar
audit_logs,4,module,character varying,100,YES,"",varchar
audit_logs,5,detail,text,"",YES,"",text
audit_logs,6,ip_address,character varying,50,YES,"",varchar
audit_logs,7,chain_hash,text,"",YES,"",text
audit_logs,8,created_at,timestamp with time zone,"",YES,CURRENT_TIMESTAMP,timestamptz
chemical_aliases,1,id,integer,"",NO,nextval('chemical_aliases_id_seq'::regclass),int4
chemical_aliases,2,substance_id,integer,"",NO,"",int4
chemical_aliases,3,alias_text,character varying,100,NO,"",varchar
chemical_documents,1,id,integer,"",NO,nextval('chemical_documents_id_seq'::regclass),int4
chemical_documents,2,content,text,"",NO,"",text
chemical_documents,3,embedding,USER-DEFINED,"",YES,"",vector
chemical_documents,4,regulation_type,character varying,50,NO,"",varchar
chemical_documents,5,priority,character varying,20,NO,"",varchar
chemical_documents,6,source_file,character varying,200,YES,"",varchar
chemical_documents,7,chemical_type,character varying,100,YES,"",varchar
chemical_documents,8,created_at,timestamp with time zone,"",YES,CURRENT_TIMESTAMP,timestamptz
chemical_documents,9,regulation_number,character varying,100,YES,"",varchar
chemical_documents,10,chapter_title,character varying,200,YES,"",varchar
chemical_documents,11,clause_number,character varying,50,YES,"",varchar
chemical_documents,12,page_number,integer,"",YES,"",int4
chemical_documents,13,chunk_index,integer,"",YES,"",int4
chemical_documents,14,extraction_quality,character varying,20,YES,"",varchar
chemical_hazard_categories,1,id,integer,"",NO,nextval('chemical_hazard_categories_id_seq'::regclass),int4
chemical_hazard_categories,2,substance_id,integer,"",NO,"",int4
chemical_hazard_categories,3,category,character varying,100,NO,"",varchar
chemical_hazard_categories,4,gb_standard,character varying,30,NO,''::character varying,varchar
chemical_hazard_categories,5,sub_category,character varying,50,NO,''::character varying,varchar
chemical_incompatibilities,1,id,integer,"",NO,nextval('chemical_incompatibilities_id_seq'::regclass),int4
chemical_incompatibilities,2,substance_a_id,integer,"",NO,"",int4
chemical_incompatibilities,3,substance_b_id,integer,"",NO,"",int4
chemical_incompatibilities,4,is_compatible,boolean,"",NO,false,bool
chemical_incompatibilities,5,reason,text,"",YES,"",text
chemical_incompatibilities,6,regulation_ref,character varying,100,YES,''::character varying,varchar
