"table_name","序号","字段名","类型","最大长度","可空","默认值","底层类型"
"audit_logs",1,"id","integer","","NO","nextval('audit_logs_id_seq'::regclass)","int4"
"audit_logs",2,"user_id","character varying","100","YES","","varchar"
"audit_logs",3,"action","character varying","100","NO","","varchar"
"audit_logs",4,"module","character varying","100","YES","","varchar"
"audit_logs",5,"detail","text","","YES","","text"
"audit_logs",6,"ip_address","character varying","50","YES","","varchar"
"audit_logs",7,"chain_hash","text","","YES","","text"
"audit_logs",8,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"chemical_documents",1,"id","integer","","NO","nextval('chemical_documents_id_seq'::regclass)","int4"
"chemical_documents",2,"content","text","","NO","","text"
"chemical_documents",3,"embedding","USER-DEFINED","","YES","","vector"
"chemical_documents",4,"regulation_type","character varying","50","NO","","varchar"
"chemical_documents",5,"priority","character varying","20","NO","","varchar"
"chemical_documents",6,"source_file","character varying","200","YES","","varchar"
"chemical_documents",7,"chemical_type","character varying","100","YES","","varchar"
"chemical_documents",8,"created_at","timestamp with time zone","","YES","CURRENT_TIMESTAMP","timestamptz"
"chemical_documents",9,"regulation_number","character varying","100","YES","","varchar"
"chemical_documents",10,"chapter_title","character varying","200","YES","","varchar"
"chemical_documents",11,"clause_number","character varying","50","YES","","varchar"
"chemical_documents",12,"page_number","integer","","YES","","int4"
"chemical_documents",13,"chunk_index","integer","","YES","","int4"
"chemical_documents",14,"extraction_quality","character varying","20","YES","","varchar"
"knowledge_chunks",1,"id","integer","","NO","nextval('knowledge_chunks_id_seq'::regclass)","int4"
"knowledge_chunks",2,"document_id","integer","","NO","","int4"
"knowledge_chunks",3,"content","text","","NO","","text"
"knowledge_chunks",4,"embedding","USER-DEFINED","","YES","","vector"
"knowledge_chunks",5,"chunk_index","integer","","NO","0","int4"
"knowledge_chunks",6,"chapter_number","character varying","50","YES","","varchar"
"knowledge_chunks",7,"chapter_title","character varying","500","YES","","varchar"
"knowledge_chunks",8,"clause_number","character varying","50","YES","","varchar"
"knowledge_chunks",9,"article_number","character varying","50","YES","","varchar"
"knowledge_chunks",10,"page_number","integer","","YES","","int4"
"knowledge_chunks",11,"sub_chunk_index","integer","","YES","","int4"
"knowledge_chunks",12,"regulation_type","character varying","50","NO","","varchar"
"knowledge_chunks",13,"priority","character varying","10","NO","","varchar"
"knowledge_chunks",14,"created_at","timestamp with time zone","","YES","now()","timestamptz"
